ProjectID	MeanFunding	Title	ProjectSummary
9743	0.0	Partner Outreach 2018-2021: Southern Illinois University School of Medicine Library 2018-2019	Serve as a partner outreach library, offering training and promotion of NLM resources on behalf of the GMR.
9746	0.0	Partner Outreach 2018-2021: University of South Dakota Wegner 2018-2019	Serve as a partner outreach library, offering training and promotion of NLM resources on behalf of the GMR.
9749	0.0	Partner Outreach 2018-2021: Indiana University Ruth Lilly Medical Library 2018-2019	Serve as a partner outreach library, offering training and promotion of NLM resources on behalf of the GMR.
9752	0.0	Partner Outreach 2018-2021: University of Iowa Hardin Library for the Health Sciences 2018-2019	Serve as a partner outreach library, offering training and promotion of NLM resources on behalf of the GMR.
9755	0.0	Partner Outreach 2018-2021: University of Louisville 2018-2019	Serve as a partner outreach library, offering training and promotion of NLM resources on behalf of the GMR.
9758	0.0	Partner Outreach 2018-2021: University of Minnesota 2018-2019	Serve as a partner outreach library, offering training and promotion of NLM resources on behalf of the GMR.
9762	0.0	Partner Outreach 2018-2021: University of North Dakota 2018-2019	Serve as a partner outreach library, offering training and promotion of NLM resources on behalf of the GMR.
9765	0.0	Partner Outreach 2018-2021: University of Wisconsin-Madison 2018-2019	Serve as a partner outreach library, offering training and promotion of NLM resources on behalf of the GMR.
9769	0.0	Partner Outreach 2018-2021: Ohio State University Health Sciences Library 2018-2019	Serve as a partner outreach library, offering training and promotion of NLM resources on behalf of the GMR.
9772	0.0	Partner Outreach 2018-2021: University of Cincinnati 2018-2019	Serve as a partner outreach library, offering training and promotion of NLM resources on behalf of the GMR.
9775	0.0	Partner Outreach 2018-2021: Medical College of Wisconsin 2018-2019	Serve as a partner outreach library, offering training and promotion of NLM resources on behalf of the GMR.
9778	2800.0	Partner Outreach 2018-2021: Wayne State University, Vera P. Shiffman Medical Library 2019-2020	Serve as a partner outreach library, offering training and promotion of NLM resources on behalf of the GMR.
9782	17293.0	SIU Medical Libraryâ€™s 3D Printing Program 	"The SIU Medical Library would like to purchase a 3D printer to create anatomical models for physicians and surgeons in SIUâ€™s 9 Clinical Science Departments in Springfield, IL. The models could be used prior to a procedure to train residents working in the clinics, to educate current medical school students about basic anatomy or particular health conditions, and to educate patients about their condition or promote wellness. Print files from the National Institute of Healthâ€™s 3D Print Exchange (https://3dprint.nih.gov/) as well as those from SIU Physicians would be used. 

Established in 1970, the mission of SIU School of Medicine is to assist the people of central and southern Illinois in meeting their health care needs through education, patient care, research and service to the community. This project will support the Schoolâ€™s overall mission as well as the Libraryâ€™s mission to provide faculty, staff, and students with the resources they need to advance medical education. Source: https://www.siumed.edu/pr/highlights/new-siu-office-plans-open-house-canton.html "
9785	18279.0	Community Health in the Library (CHIL)	The Community Health in the Library (CHIL): Reinvigorating Outreach at the UIC Crawford Library of the Health Sciences project will improve access to high quality, reliable health information for the city of Rockford, Illinois and the surrounding Winnebago County community. UICâ€™s Crawford Library of the Health Sciences, hereafter referred to as the Crawford Library, has had a long history of participating in community outreach, educating the community on the National Library Medicine (NLM) resources, and housing a Consumer Health Collection specifically for the community. However, in recent years due to financial uncertainty and budget reductions throughout the state of Illinois, the Crawford Library has not been able to support the Consumer Health Collection and outreach activities at the same levels. The CHIL project will reinvigorate the aging collection, the libraryâ€™s presence in the community, and the communityâ€™s use of NLM resources. CHIL activities will include teaching workshops at community sites, purchasing print and audio/visual materials, hosting â€˜mini exhibitsâ€™ that feature the NLMâ€™s Online Exhibits, and generally promoting NLM resources and the Library. This reinvigoration of outreach at the Crawford Library will result in improved access to reliable health information for the public.
9788	49510.0	Health Online: Finding Information You Can Trust	â€œHealth Online: Finding Information You Can Trustâ€ will help persons from underrepresented populations better access, identify and use reliable health information on the internet. With todayâ€™s focus on obtaining information online or going mobile, there has become a digital divide for individuals with low health literacy, many of whom are represented among vulnerable populations, using online and other digital tools for health (Pew, 2015). Through this project, Wisconsin Health Literacy (WHL) will offer 32 â€œdigital health literacyâ€ workshops for consumers most at risk for low health literacy, including seniors and individuals with low literacy. WHL uses a proven workshop model which relies on partnership with local organizations to reach vulnerable populations through educational programs offered in trusted settings. WHL will leverage its past experience conducting over 400 of these collaborative workshops on a variety of health topics to create and implement this new program on digital health literacy. Community partners are scattered across the state and will include non-profit literacy councils, 80 of which are members of Wisconsin Literacy. Additional historic partners include public libraries, Aging and Disability Resource Centers (ADRCs), senior centers, Indian tribes, refugee organizations, and community health centers. (See letters of support.) The workshop delivery and training structure will emphasize training and materials that can be disseminated and used by partnering organizations so that they can continue to offer the program to new participants going forward. There is a variety of training publicly available to help consumers use online health information. However, these sources are less likely to be used by vulnerable populations due to limited digital health literacy. A second project component involves providing 4 regional workshops for librarians, especially in rural areas, on how to effectively help persons with low health literacy find trustworthy health information. This will help them feel more confident in helping all library customers seeking health information, but especially those who have lower health literacy and less on-line expertise.
9806	49835.0	Food Wisdom Repository: Information Resources for Native Nutritional Health	This project undertakes outreach activities to further development of, and facilitate access to, a public knowledge repository of information on Indigenous nutritional health. The Research for Indigenous Community Health (RICH) Center at the University of Minnesota is building a curated database of reliable information resources relevant to Native nutritional health, accessed via a public website. Drawing from multiple sources of â€œfood wisdomâ€â€”including experiential, community-based, and cross-disciplinary academic knowledgeâ€”this searchable repository provides a directory of experts, a bibliography of scholarly publications and grey literature, and information on relevant projects, programs, and resources. Supported by a gift from the Shakopee Mdewakanton Sioux Communityâ€™s Seeds of Native Health initiative, and guided by first-round needs assessment, the RICH Center has built a proof-of-concept test site. The proposed project will further development of the repository into a fully-functioning, publicly-accessible prototype, and maximize its accessibility, through collection and analysis of additional user data. In the first half of the award period, advised by the External Consultants and the University of Minnesotaâ€™s Usability Lab, the Project Director and Outreach Associate will conduct needs assessment and user testing with selected target users: health workers (health practitioners, health and nutrition educators, program managers, project coordinators, and other public and community health workers) who are working most directly within Native communities to foster health and well-being through food and nutrition. Analysis of user data will guide content development, database structure, and interface design for the prototype. The proposed project also includes assessment of the need for training resources to help target users access and utilize the repositoryâ€™s resources. Advised by the External Consultants, the Project Director and Outreach Associate will collaborate with the Outreach Librarian for the University of Minnesotaâ€™s Health Sciences Library to assess the training needs of two audiences: health workers, and information professionals who serve Native communities. In the second half of the award period, they will analyze data collected on training needs, identify priority needs, and plan for development of high-priority training resources.
9809	20000.0	CLUES Health and Well-being Workshops	CLUES requests funding from the NNLM to support a Health and Wellbeing workshop series for the second program year. The workshops will take place in areas of Minnesota where large communities of Latinos live and work, including southern Minnesota (in areas such as St. James and Austin). The workshop curriculum has recently been conceptualized and created by CLUESâ€™ Behavioral and Community Health staff, and covers topics across well-being, including healthy behaviors (healthy eating, active living, tobacco cessation), communication, and dealing with difficult emotions (regulation of feelings and its expression, trauma). Additionally, new sessions will be added to respond to the needs of the community we serve in St. James. Each workshop course will connect participants to National Library of Medicine Resources, including MedlinePlus, to provide families with access to resources for increasing their knowledge of health topics long after the workshops. The envisioned Health and Wellbeing workshop series will be especially valuable in increasing access to health information for Latinos in Greater Minnesota, who typically do not have access to culturally and linguistically relevant health or human services.
9812	0.0	Partner Outreach 2018-2019: University of Illinois at Chicago Library for the Health Sciences - Peoria	Serve as a partner outreach library, offering training and promotion of NLM resources on behalf of the GMR.
9909	19874.0	Wash & Learn: Health Libraries in Laundromats - Minnesota	Libraries Without Borders (LWB) will facilitate health literacy programs inside laundromats in 3 new counties in Minnesota as part of LWBâ€™s Wash &amp; Learn Initiative (WALI). Implementing partners include the Minnesota State Library Services, the Saint-Paul Public Library, the Anoka County Library, and the Scott County Library. LWB will write and publish 3 case studies drawn from each county, highlighting best practices, We will share these findings across Minnesota through LWBâ€™s partnership with the State Library Services. At the macro level, LWB aims to test several new methodologies of facilitation in order to better understand how to onboard low-income families to effectively use NNLM resources. In each laundromat space, laundromat clients will gain access to curated WiFi hotspots that re-direct them to MedLine Plus resources on personal devices. LWB will also work with the library systems to facilitate health literacy workshops and convene public health organizations to offer workshops during the laundromatâ€™s peak hours.
9912	1962.0	Women's Health Wednesdays	We will focus on several different topics of womenâ€™s health, including heart disease, reproductive safety and health, depression and mental health, eating healthy, working out, cancer, yearly screenings, autoimmune disease, caring for a loved one, and self-defense. We will hold 9 sessions, each one hour long, once per month from August through April. We want the women in our communities to understand and value their own health and wellness. We have a lot of women who have no insurance (or are under insured) that we see coming into the library asking for materials on different health topics, such as breast cancer and ways to de-stress. We want them to not only know the information from a respectable professional, but also to know that they can go to Aunt Marthaâ€™s, even with no insurance, and get the help they need to stay healthy.
9915	12358.0	Improving Health Awareness Through Access to Quality Health Information	This request seeks to fund the purchase and support of 20 iPads loaded with NLM consumer health information for adults and children. This proposed project is a partnership between the Charlevoix Public Library and the Munson Charlevoix Hospital Education Department. The iPads will be placed in the Library, the Hospital Wellness Workshop facility, in selected physicians&#039; and school nurse offices and used in health clinics for American Indians and community senior events. The Health Librarian will train the health professionals to use the iPads and review specific NLM databases. The information will be reviewed semi-annually to ensure that the resources are up to date. The rural counties of Antrim and Charlevoix counties which constitutes the Library and Hospital&#039;s patron base, have many health challenges associated with obesity, diabetes and alcoholism. Access to mental health professionals and specialists is scarce. These chronic health issues combined with a general population that has limited computer skills, makes this a ideal environment to provide NLM health information for adults and children on user-friendly iPads. The mission of the Charlevoix Public Library is to connect the community to resources that educate, enrich and empower. The Library has been a partner with the Munson Charlevoix Hospital Wellness Workshop since inception, providing community health information based on NLM resources. The Wellness Workshop supports the Hospitals&#039; mission to improve the health and wellness of the community through health education, nutrition classes and health screenings.
9953	20000.0	How to Maximize Your Health Insurance Benefits	Lack of access to treatment for youth living in medically underserved areas with a mental health condition can lead to poor academic performance, substance use, hospitalization, and attempted or completed suicide. The 2008 Mental Health Parity and Addiction Equity Act requires health insurance plans to provide mental health and substance use disorder benefits equal to those of medical/surgical benefits, and the Affordable Care Act requires plans to offer mental health care benefits. Despite this advancement, surveys show that people are not aware of these changes and are not accessing the mental health care available to them through their insurance policies. Further, if youth and parents are unaware that the symptoms they are experiencing could be related to a mental health condition, they will not access care for these conditions. Through a NNLM grant From May 2017 to April 2018 DBSA improved health information literacy and access to mental health care by: educating youth influencers on how to access existing and new DBSA youth mental health information posted on MedLine in both English and Spanish; delivered workshops in underserved areas to educate and train youth influencers and parents on how youth can access greater mental health and substance use care and treatment options for themselves or their children through insurance benefits already available to them; trained them on how to work with insurance plans when benefits are denied; posted workshop presentation and webinar on MedLineâ€”health insurance category; worked with community partners to increase knowledge of these tools; included training on how to use MedLine in workshops. To expand on this program, DBSA proposes to reach professional youth influencers to include social workers, librarians and school personnel by creating a 4-hour workshop that provides continuing education credits. Curriculum includes 2-hour instruction on insurance and mental health parity and 2-hour instruction on how to use MedLine and HealthReach as a resource for obtaining additional information on youth behavioral health resources. This program will build on continued work in Illinois and be expanded to reach under-served health communities in Wisconsin.
9986	19900.0	County-Level Health Data Fair	The Making County-Level Health Data Findable, Accessible, Interoperable, and Reusable (FAIR) Initiative will consist of three phases in order to establish and sustain an online interface for local health professionals and librarians to access and analyze county-level health assessment data, as well as educate these individuals on utilizing this resource and creating their own data management plans. The first phase of this proposed project will be to develop and implement a database where raw data from Richland County health assessments can be accessed and analyzed by local health professionals and librarians. The second phase will consist of the creation and hosting of a data access and management webinar to introduce Richland County health professionals and librarians to the online interface. Finally, phase three will provide an additional webinar to 12 rural North Central Ohio Counties in an effort to educate their local health professionals and librarians about data management plans as well as how to access, analyze, and contribute to the Making County-Level Health Data FAIR Initiative database.
9989	19060.0	Interactive Health Information Kiosks in Richland County Libraries	The Interactive Health Information Kiosks in Richland County Libraries project will consist of four phases in order to establish and sustain the installment of interactive health information kiosks at Richland Countyâ€™s local libraries, as well as educating the public on identifying relevant, accurate, and appropriate health research. The first phase of this project will be to obtain and install health information education kiosks at all 9 Richland County libraries. In addition to the kiosks, each library will be equipped with user education and instructional materials to accompany the kiosks. The second phase will consist of outreach to local health care settings, including primary care physicians and pharmacies, to educate and inform practices about the kiosks and programming at the libraries. Health care professionals will be given informational flyers to make available to their patients. The entire practice will be educated when possible, including non-physician team members. During this phase, library employees will also be educated and trained on the usage and importance of the kiosks. Phase three will be completed by educating the target audience of residents who live in rural areas. A series of workshops on health information and the kiosks will emphasize the importance of health information, personalized medicine, improve health literacy, and how to do health research on their own by utilizing NNLM resources. Through phase four, additional promotional materials about the kiosks will be distributed to further advertise the initiative. The allocation of these promotional materials will be disseminated through local health fairs, the blood pressure kit program Richland Public Health currently hosts at all 9 branches of the Richland County Libraries as well as current Richland County Library health programming and resources, and advertisements through Richland Public Health and Richland County Library websites, social media accounts, and local Richland County media outlets.
9992	17846.0	Research Data Management Best Practice Implementation Program for Graduate Students in STEM and Health Sciences	The Research Data Management Best Practice Implementation project supports the National Network of Libraries of Medicine (NNLM) goal of building â€œcapacity in data management practices, services and tools to support FAIR data guiding principles (1)â€. This program will increase graduate student knowledge of data management best practices, promote student understanding of how data management integrates into their research work, and determine if these practices are adopted long term. This pilot uses a flipped classroom model to present the students with appropriate practices in an eight-week intensive program. In a flipped classroom, the students are expected to engage with the instructional content outside the classroom, while using the in-person classroom time to engage in activities that demonstrate competency and understanding of the content. In this program, the classroom time is used to systematically develop and holistically integrate these practices in to their research projects. The topics include discovering disciplinary standards, creating a project map, developing folder structures and file naming conventions that reflect the project workflow, and devising strategies for sustaining these practices as their projects evolve. The UIC Library has a history of sustained support for research data management through both instruction and personalized consultation. However, there is little research that demonstrates the long-term adoption of data management best practices after receiving instruction or personalized support. This pilot project is unique in that it addresses both education about data management practices and the integration of best practices into the research workflow in a personalized manner. This project will begin to fill the research gap by examining the longitudinal effects of data management instruction and integration support. 1. National Network of Libraries of Medicine. Research Data Award Call for Proposals. National Network of Libraries of Medicine Greater Midwest Region https://nnlm.gov/gmr/funding/research-data-award. Accessed May 15, 2018.
9995	9511.0	Teaching Health Literacy to Underserved Youth	Background: Low health literacy has been associated with poor health outcomes and socioeconomic factors. Milwaukee has a lower educational attainment and diverse medically underserved populations within the city. Health literacy is a national concern and is part of the mission of the National Library of Medicine and its network of Regional Medical Libraries. Youth health literacy has not been measured; many health education programs have been cut or reduced in primary and secondary schools and health literacy is not mandated or funded. It has been determined that youth needs to learn how to best search for and evaluate online health information. Objective: This project will Implement a sustainable youth health literacy curriculum in a health education course at Vel R. Phillips Juvenile Justice Center in Wauwatosa School District in Milwaukee County Wisconsin. Methods: MCW librarians will provide train-the-trainer sessions to current teaching personnel at Vel R. Phillips Juvenile Justice Center on how to access quality health information using Medline Plus, Google search techniques and website evaluation skills. â€œYouth Health Literacy: A Toolkit to Strengthen Health Literacyâ€ (YHL), developed at the New Mexico Department of Health Office of School and Adolescent Health, will be integrated into the current Health Education course at the Vel R. Phillips Juvenile Justice Center. YHL instruction will include interactive exercises and the use of a Chromebooks available onsite. The YHL curriculum will be taught over 4 weeks and repeated 6 times during the school year. Each class is expected to include 20-30 students. The pre-and-post evaluation tool built into the YHL curriculum will be utilized to assess student learning. The project will develop a print collection of consumer health materials suitable for the target population. A LibGuide with relevant information resources will be developed for future reference for participants. Results: A local community partnership aimed at improving youth health literacy will be forged; Underserved youth will acquire sustainable health information seeking skills; Quality health information available from the National Library of Medicine will be promoted; the NNLM and GMR mission and aims to improve access to health information to diverse populations and improve health literacy will be met. Conclusion: Medical librarians in the NNLM can participate in bridging a gap in health education by building a sustainable youth health literacy program, a step towards improving health outcomes in the population.
9998	13300.0	Technology 174 - Action Behind Education	"Chronic Illness and Disease Awareness (CIDA) is the only organization in our community that seeks to educate the Tri-Cities community about chronic illnesses. Research studies show that increasing numbers of community members have been diagnosed with chronic illnesses, exponentially growing the health illiteracy rate in our community. Recognizing this, the purpose of this project is titled â€œAction Behind Educationâ€â€”action that will require a two-fold project. First, in order to improve health literacy in the Tri-Cities area it is necessary that CIDA increase the number of healthcare workshops conducted and simultaneously launch Computer Lab sessions that enable, promote awareness, and use of NLM resources. Second, in order to provide community members access to consumer health information it is vital that the Color My World Healthy Library at Carver Parks and Recreation Center (CP&amp;R) be updated. CIDAâ€™s primary objective in this project is to increase health literacy among children and seniors through expanding its workshops and creating new Computer Lab sessions that provide participants with increased access to NLM resources. CIDA purposes to accomplish this through frequent workshops at the CP&amp;R. These workshops are written by the CIDA administration, reviewed for accuracy by Quillen College of Medicine Library librarians, and taught by ETSU students/health professionals to children at the CP&amp;R. Along with these workshops, CIDA is determined to promote the awareness of NLM resources through new e-Library Computer Lab sessions. To further increase health literacy in the Tri-Cities area, CIDA aims to create an updated e-library that promotes the awareness and use of NN/LM resources. This e-library would have resources available for children and adults on various diseases, illness prevention techniques, and healthy lifestyle tips. It is our goal that this two-fold project will ultimately reduce health illiteracy in the Tri-Cities community.	"
10001	14745.0	Technology 171 - Deployment and Use of iPad Minis in an Urban Academic Medical Center & Health System	"Dahlgren Memorial Library at Georgetown University Medical Center is seeking funding for a project designed to assess the utility of iPad Mini tablet devices for use by neonatal intensive care unit and pathology residents at MedStar Georgetown University Hospital in Washington, DC. Research has been conducted in the use of the iPad in several clinical point of care and training settings including with physical medicine and rehabilitation residents (Niehaus, et al, Physical Medicine and Rehabilitation Resident Use of iPad Mini Mobile Devices. PM R. 2015 May;7(5):512-8.) and an otolaryngology â€“ head and neck surgery inpatient service (Crowson, et al, Utility of Daily Mobile Tablet Use for Residents on an Otolaryngology Head &amp; Neck Surgery Inpatient Service. J Med Syst. 2016 Mar;40(3):55).

Little data has been tabulated or studies conducted to determine the clinical utility of the iPad Mini tablet device. The Niehaus et al. study states there is minimal research on the use of smaller tablet devices in residency programs, and most of the previous studies were conducted with standard-sized iPad tablet devices. Dahlgren Memorial Library staff working with clinicians at Georgetown University Medical Center and MedStar Georgetown University Hospital propose the purchase and deployment of the devices and to study their utility in a point-of-care clinical setting as the residents rotate through various clinics onsite at MedStar Georgetown University Hospital, and in clinical settings throughout the Washington DC area. Resources staff at Dahlgren Memorial Library have built an extensive collection of electronic materials which currently provides access to 6,500 journals and 4,500 eBooks,. All digital content in the Dahlgren Memorial Library collections are integrated into National Library of Medicine resources such as PubMed. Deployment of the iPad devices will facilitate access to National Library of Medicine databases and Dahlgren Memorial Library resources. "
